"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value","Flag and Footnotes"
"2009","European Union (current composition)","Extra-EU28 (current composition)","Total","Total","Total","Person","93,255","d"
"2009","European Union (current composition)","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","20,040","d"
"2009","European Union (current composition)","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","14,135","d"
"2009","European Union (current composition)","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","2,225","d"
"2009","European Union (current composition)","Extra-EU28 (current composition)","Total","Total","Rejected","Person","73,210","d"
"2009","European Union (current composition)","Total","Total","Total","Total","Person","93,620","d"
"2009","European Union (current composition)","Total","Total","Total","Total positive decisions","Person","20,070","d"
"2009","European Union (current composition)","Total","Total","Total","Geneva Convention status","Person","14,155","d"
"2009","European Union (current composition)","Total","Total","Total","Humanitarian status","Person","2,230","d"
"2009","European Union (current composition)","Total","Total","Total","Rejected","Person","73,550","d"
"2009","Belgium","Extra-EU28 (current composition)","Total","Total","Total","Person","7,335",""
"2009","Belgium","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","280",""
"2009","Belgium","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","165",""
"2009","Belgium","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person",":",""
"2009","Belgium","Extra-EU28 (current composition)","Total","Total","Rejected","Person","7,055",""
"2009","Belgium","Total","Total","Total","Total","Person","7,550",""
"2009","Belgium","Total","Total","Total","Total positive decisions","Person","280",""
"2009","Belgium","Total","Total","Total","Geneva Convention status","Person","170",""
"2009","Belgium","Total","Total","Total","Humanitarian status","Person",":",""
